Node,VRF,Network,Next_Hop,Next_Hop_IP,Next_Hop_Interface,Protocol,Metric,Admin_Distance,Tag
r4a1,default,10.0.0.1/32,r5a1,10.45.0.2,dynamic,ospf,3,110,
r5a1,default,200.0.0.0/20,r1a1,10.0.0.1,dynamic,ibgp,0,200,
r1a1,default,10.0.0.4/32,r5a1,10.15.0.2,dynamic,ospf,3,110,
r5a1,default,10.24.0.0/24,r4a1,10.45.0.1,dynamic,ospf,2,110,
r3a1,default,10.0.0.4/32,r4a1,10.34.0.2,dynamic,ospf,2,110,
r2a1,default,10.45.0.0/24,r4a1,10.24.0.2,dynamic,ospf,2,110,
r3a1,default,10.24.0.0/24,r4a1,10.34.0.2,dynamic,ospf,2,110,
r4a1,default,10.0.0.4/32,,AUTO/NONE(-1l),Loopback1,connected,0,0,
r4a1,default,10.35.0.0/24,r3a1,10.34.0.1,dynamic,ospf,2,110,
r1a200,default,200.0.0.1/32,,AUTO/NONE(-1l),Loopback1,connected,0,0,
r1a200,default,179.0.0.2/32,,AUTO/NONE(-1l),FastEthernet0/0,local,0,0,
r1a1,default,10.35.0.0/24,r5a1,10.15.0.2,dynamic,ospf,2,110,
r4a1,default,10.0.0.3/32,r3a1,10.34.0.1,dynamic,ospf,2,110,
